,Season,Episode,Character,Dialouge
162,1,1,Michael,  Nice Thats the way it is around here It just kind of goes round and round
163,1,1,Ryan, You shouldve put him in custardy
164,1,1,Michael, Hey Yes New guy He scores
165,1,1,Dwight, OK thats great I guess what Im most concerned with is damage to company property Thats all
166,1,1,Michael, Pudding Pudding Im trying to think of another dessert to do
167,1,1,Jim, Do you like going out at the end of the week for a drink
168,1,1,Pam, Yeah
169,1,1,Jim, Thats why were all going out So we can have an endoftheweekdrink
170,1,1,Pam, So when are we going out
171,1,1,Jim, Tonight hopefully
172,1,1,Pam, OK Yeah
173,1,1,Roy, Hey man
174,1,1,Jim, Whats going on
175,1,1,Roy, Hey baby
176,1,1,Pam, Hey
177,1,1,Pam, Roys my fiance Weve been engaged about three years We were supposed to get married in September but I think were gonna get married in the spring
178,1,1,Pam, Do you mind if I go out for a drink with these guys
179,1,1,Roy, No no Come on Lets get out of here and go home
180,1,1,Pam, OK Im gonna be a few minutes So its only twenty past five I still have to do my faxes
181,1,1,Jim, You know what You should come with us Because you know were all going out and it could be a good chance for you to see what people are like outside the office I think it could be fun
182,1,1,Roy, It sounds good Seriously weve gotta get going
183,1,1,Jim, Yeah yeah
184,1,1,Jim, Um Whats in the bag
185,1,1,Roy, Just tell her Ill talk to her later
186,1,1,Jim, No definitely All right dude Awesome Will do
187,1,1,Jim, Do I think Ill be invited to the wedding 
188,1,1,Michael, So have you felt the vibe yet We work hard we play hard Sometimes we play hard when we should be working hard Right I guess the atmosphere that Ive created here is that Im a friend first and a boss second and probably an entertainer third  Just a second Right Oh hey do you like The Jamie Kennedy Experiment Punkd and all that kind of stuff
189,1,1,Ryan, Yeah
190,1,1,Michael, You are gonna be my accomplice Just go along with it OK
191,1,1,Ryan, All right
192,1,1,Michael, Just follow my lead Dont pimp me all right Come in So uh Corporate just said that I dont want to
193,1,1,Pam, You got a fax
194,1,1,Michael, Oh thank you Pam can you come in here for a sec Just have a seat I was gonna call you in anyway You know Ryan As you know there is going to be downsizing And you have made my life so much easier in that I am going to have to let you go first
195,1,1,Pam, What Why
196,1,1,Michael, Why Well theft and stealing
197,1,1,Pam, Stealing What am I supposed to have stolen
198,1,1,Michael, Postit Notes
199,1,1,Pam, Postit Notes What are those worth 50 cents
200,1,1,Michael, 50 cents yeah If you steal a thousand PostIt Notes at 50 cents apiece and you know youve made a profit margin Youre gonna run us out of business Pam
201,1,1,Pam, Are you serious
202,1,1,Michael, Yeah I am
203,1,1,Pam, I cant believe this I mean I have never even stolen as much as a paperclip and youre firing me
204,1,1,Michael, But the best thing about it is that were not going to have to give you any severance pay Because that is gross misconduct and Just clean out your desk Im sorry
205,1,1,Michael,  You been Xd punk  Surprise Its a joke We were joking around See OK He was in on it He was my accomplice And it was kind of a morale booster thing And we were showing the new guy around giving him the feel of the place So you God we totally got you
206,1,1,Pam, Youre a jerk
207,1,1,Michael, I dont know about that
208,1,1,Michael, What is the most important thing for a company Is it the cash flow Is it the inventory Nuhuh Its the people The people My proudest moment here was not when I increased profits by 17 or when I cut expenses without losing a single employee No no no no no It was a young Guatemalan guy First job in the country barely spoke English He came to me and said Mr Scott would you be the godfather of my child Wow Wow Didnt work out in the end We had to let him go He sucked
209,1,1,Pam, Hey
210,1,1,Jim, Hey
211,1,1,Jim, How are things
212,1,1,Pam, Good I thought you were going out for a drink with
213,1,1,Jim, Oh no I just decided not to Hows your headache
214,1,1,Pam, Its better thanks
215,1,1,Jim, Good Good
216,1,1,Pam, Yeah
217,1,1,Jim, Thats great
218,1,1,Pam, Is
219,1,1,Jim, Yeah
220,1,1,Pam, Um Are you
221,1,1,Jim, Am I walking out
222,1,1,Pam, Yes
223,1,1,Jim, Yes I Do you want to
224,1,1,Pam, Yeah
225,1,1,Jim, Great Let me just
226,1,1,Jim,  Oh Roy
227,1,1,Pam, Yeah Listen have a nice weekend
228,1,1,Jim, Yeah definitely You too Enjoy it  You know what just come here
0,1,2,Michael, Hey uh can I help you out in here
1,1,2,Mr. Brown, Oh Im all set thanks
2,1,2,Michael, Gotcha Good Id go with the rows Thats a good idea
3,1,2,Michael, Today is diversity day and someones going to come in and talk to us about diversity Its something that Ive been pushing that Ive been wanting to push for a long time and Corporate mandated it And I never actually talked to Corporate about it They kind of beat me to the punch the bastards But I was going to And I think its very important that we have this Im very very excited
4,1,2,Jim, Thats the thing Its very sturdy paper and on the back it says 100 postconsumer content What Hello Uhhuh Wait What Im sorry Mr Decker I think Im losing you  Hello Hello Yeah Hold on one second I dont know Hold on one second
5,1,2,Jim, Do you really have to do that right now
6,1,2,Dwight, Yes I do I should have done it weeks ago actually
7,1,2,Jim, Mr Decker Im sorry about that What were you Can you hold on one second Yeah just one second Thanks  Hello Thats it Perfect So what I was saying  Hello Thanks Dwight
8,1,2,Dwight, Retaliation Tit for tit
9,1,2,Jim, That is not the expression
10,1,2,Dwight, Well it should be
11,1,2,Jim, This is my biggest sale of the year They love me over there for some reason Im not really sure why but I make one call over there every year just to renew their account and that one call ends up being 25 of my commission for the whole year so I buy a mini bottle of champagne celebrate a little And this year Im pushing recycled paper on them for one percent more I know Im getting cocky Right
12,1,2,Jim, Solitaire
13,1,2,Pam, Yeah Freecell
14,1,2,Jim, Six on seven
15,1,2,Pam, I know I saw that
16,1,2,Jim, So then why didnt you do it
17,1,2,Pam, Im saving that cause I like it when the cards go Ttststchtchtch
18,1,2,Jim, Who doesnt love that
19,1,2,Michael, Hey Oscar How are you doing man
20,1,2,Oscar, All right
21,1,2,Michael, Did you have a good weekend going there
22,1,2,Oscar, It was fine
23,1,2,Michael, Oh yeah I bet it was fun  Oh hey This is Oscar
24,1,2,Oscar, Martinez
25,1,2,Michael, Right See I dont even know firstname basis
26,1,2,Mr. Brown, Great Were all set
27,1,2,Michael, Oh hey well diversity everybody lets do it Oscar works in here Jim could you wrap it up please
28,1,2,Jim, Yeah uh Mr Decker please
29,1,2,Michael, Its diversity day Jim I wish every day was diversity day
30,1,2,Jim, You know what Im actually going to have to call you back Thank you Sorry about that
31,1,2,Mr. Brown, Thank you Thank you Thank you Great
32,1,2,Michael, Come on people lets get em in Get in the cards Get in the cards
33,1,2,Mr. Brown, Thank you Thank you very much OK Thanks for filling these out and I promise thisll be quick At Diversity Today our philosophy is about honesty and positive expectations We believe that 99 of the problems in the workplace arise simply out of ignorance
34,1,2,Michael, You know what This is a colorfreezone here Stanley I dont look at you as another race
35,1,2,Mr. Brown, Uh see this is what Im talking about We dont have to pretend were colorblind
36,1,2,Michael, Exactly were not
37,1,2,Mr. Brown, Thats fighting ignorance with more ignorance
38,1,2,Michael, With tolerance
39,1,2,Mr. Brown, No With more ignorance
40,1,2,Michael, Ignorance
41,1,2,Mr. Brown, Right Exactly Uh instead we need to celebrate our diversity
42,1,2,Michael, Lets celebrate
43,1,2,Mr. Brown, Right OK
44,1,2,Michael, Celebrate good times Come on Lets celebrate diversity Right
45,1,2,Mr. Brown, Yes exactly Now heres what were going to do Ive noticed that
46,1,2,Michael, You know what Heres what were going to do Why dont we go around and everybody everybody say a race that you are attracted to sexually I will go last Go
47,1,2,Dwight, I have two White and Indian
48,1,2,Mr. Brown, Actually Id prefer not to start that way Michael I would love to have your permission to run this session Can I have your permission
49,1,2,Michael, Yes
50,1,2,Mr. Brown, Thank you very much And it would also help me if you were seated
51,1,2,Michael, OK
52,1,2,Mr. Brown, Thank you OK Now at the start of the session I had you all write down an incident that you found offensive in the workplace Now what Im going to do is choose one and were going to act it out
53,1,2,Dwight, A few of the ground rules
54,1,2,Michael, Hey hey why dont you run it by me and Ill run it by him
55,1,2,Dwight, OK can we steer away from gay people
56,1,2,Mr. Brown, Um
57,1,2,Dwight, Im sorry Its an orientation Its not a race Plus a lot of other races are intolerant of gays soparadox
58,1,2,Mr. Brown, Well we only have an hour
59,1,2,Dwight, I figured it would save time
60,1,2,Michael, OK Why dont we just defer to Mr
61,1,2,Mr. Brown, Mr Brown
62,1,2,Michael, Ah Oh right OK First test I will not call you that
63,1,2,Mr. Brown, Well its my name Its not a test OK Um so looking through the cards Ive noticed that many of you wrote down the same incident which is ironic because its the exact incident I was brought in here to respond to Now how many of you are familiar with the Chris Rock routine Very good OK
64,1,2,Michael, How come Chris Rock can do a routine and everybody finds it hilarious and groundbreaking and then I go and do the exact same routine same comedic timing and people file a complaint to Corporate Is it because Im white and Chris is black
65,1,2,Mr. Brown, So were going to reenact this with a more positive outcome
66,1,2,Michael, I will play the Chris Rock guy I would like to see someone else pull this off
67,1,2,Mr. Brown, Well lets have someone who wasnt involved in the reenactment
68,1,2,Michael, OK I will play guy listening
69,1,2,Mr. Brown, Great Guy listening Ok anyone else remember
70,1,2,Kevin, I remember
71,1,2,Mr. Brown, Great Youre the Chris Rock guy and youre guy listening
72,1,2,Michael, OK
73,1,2,Michael, Kevin is a great guy Hes a great accountant He is not much of an entertainer
74,1,2,Kevin, Basically there are two types of black people and black people are actually more racist because they hate the other type of black people Every time the one type wants to have a good time then the other type comes in and makes a real mess
75,1,2,Michael, OK Im sorry Im sorry Hes ruin Hes butchering it Could you just let me  Every time Every time black people want to have a good time some ignant ass  I take care of my kid
76,1,2,Mr. Brown, Wait a second
77,1,2,Michael,  They always want credit for something they supPOSED to do
78,1,2,Mr. Brown, Stop it
79,1,2,Michael,  What you want a cookie
80,1,2,Mr. Brown, Now this is a simple acronym HERO Uh at Diversity Today we believe it is very easy to be a HERO All you need are honesty empathy respect and openmindedness
81,1,2,Dwight, Excuse me Im sorry but thats not all it takes to be a hero
82,1,2,Mr. Brown, Oh great Well what is a hero to you
83,1,2,Dwight, A hero kills people people that wish him harm
84,1,2,Mr. Brown, OK
85,1,2,Dwight, A hero is parthuman and partsupernatural A hero is born out of a childhood trauma or out of a disaster that must be avenged
86,1,2,Mr. Brown, Ok youre thinking of a superhero
87,1,2,Dwight, We all have a hero in our heart
88,1,2,Mr. Brown, Now I need you to take these forms This kind of expresses the joint experience we had today And I need you to look em over and sign them as kind of a group pledge
89,1,2,Michael,  I dont think I can sign this
90,1,2,Mr. Brown, I cant leave until you do
91,1,2,Michael, Well OK it says here that I learned something and I knew all this stuff already so I know I could sign something that says that I taught something or that I helped you teach something so Pam Where is she Pam could we change something on this
92,1,2,Mr. Brown, Michael can I talk to you candidly
93,1,2,Michael, Sure
94,1,2,Mr. Brown, We both know that Im here because of the comments you made
95,1,2,Michael, Heres the thing This office I think this is very advanced in terms of racial awareness and its probably more advanced than youre used to Thats probably throwing you off a little bit
96,1,2,Mr. Brown, Um its not throwing me I need your signature
97,1,2,Michael, OK well I know You told me that several times
98,1,2,Mr. Brown, Yes but youre not listening to me Yours is the only signature I need
99,1,2,Michael, OK
100,1,2,Mr. Brown, Those are my instructions from the Corporate offices to put you through this seminar for the comments that you made The reason I made copies for everyone was so you wouldnt be embarrassed
101,1,2,Michael, Well here I am thinking that you actually cared about diversity training And you dont
102,1,2,Mr. Brown, Dont worry about dating
103,1,2,Michael, I wont
104,1,2,Mr. Brown, OK Thank you
105,1,2,Michael, Yeah yeah
106,1,2,Michael, I regret my actions I regret offending my coworkers I pledge to bring my best spirit of honesty empathy respect and openmindedness Openmindedness is that even a word into the workplace In this way I can truly be a hero Signed Daffy Duck  Hes going to lose it when he reads that
107,1,2,Jim, Yeah hi Is Mr Decker around Oh well could you just have him call me after lunch Thank you
108,1,2,Michael, I pledge to always keep an open mind and an open heart I do believe in that part of the pledge I that just read But a pledge Come on I mean who are we the Girl Scouts No Look the guy Mr Brown he got us halfway there He got us talking Well no I got us talking He got us nothing He insulted us and he abandoned us You call that diversity training I dont Were there any connections between any of us Did anyone look each other in the eye Was there any emotion going on No Where was the heart I didnt see any heart Where was my Oprah moment OK get as much done as you can before lunch because afterward Im going to have you all in tears
109,1,2,Michael, All right Everybody pretty Come on Here we go Its time Lets do some good
110,1,2,Toby, Hey were not all going to sit in a circle Indian style are we 
111,1,2,Michael, Get out
112,1,2,Toby, Im sorry
113,1,2,Michael, No this is not a joke OK That was offensive and lame So double offensive This is an environment of welcoming and you should just get the hell out of here OK lets go Lets do it Come on Lets have some fun everybody Here we go Take a seat Cop a squat And um thanks for coming in Um Diversity is the cornerstone of progress as Ive always said But dont take my word for it Lets take a look at the tape
114,1,2,Michael,  Hi Im Michael Scott Im in charge of Dunder Mifflin Paper Products here in Scranton Pennsylvania but Im also the founder of Diversity Tomorrow because today is almost over Abraham Lincoln once said that If youre a racist I will attack you with the North And those are the principles that I carry with me in the workplace
115,1,2,Michael, OK Questions Comments Anybody Jim
116,1,2,Jim, Uh is that it
117,1,2,Michael, Yes I only had an hour to put it together but Im going to add on to it later on
118,1,2,Kevin, It was kind of hard to hear
119,1,2,Michael, Uh yes That probably had something to do with the camera work Anybody else Um
120,1,2,Kelly, I have a customer meeting
121,1,2,Michael, Yeah well if you leave well only have two left Yes Enjoy Absolutely Namaste Ok well since I am leading this lets get down to business and why dont I just kind of introduce myself OK Um I am Michael and I am part English Irish German and Scottish Sort of a virtual United Nations But what some of you might not know is that I am also part Native American Indian
122,1,2,Oscar, What part Native American
123,1,2,Michael, Two fifteenths
124,1,2,Oscar, Two fifteenths that fraction doesnt make any sense
125,1,2,Michael, Well you know what its kind of hard for me to talk about it Their suffering So who else Lets get this popping Come on Whos going Whos going Lets go here Oscar right here Youre on
126,1,2,Oscar, OK Michael um Both my parents were born in Mexico
127,1,2,Michael, Oh yeah
128,1,2,Oscar, And uh they moved to the United Sates a year before I was born So I grew up in the United States
129,1,2,Michael, Wow
130,1,2,Oscar, My parents were Mexican
131,1,2,Michael, Wow That is That is a great story Thats the American Dream right there right
132,1,2,Oscar, Thank Yeah
133,1,2,Michael, Um let me ask you is there a term besides Mexican that you prefer Something less offensive
134,1,2,Oscar, Mexican isnt offensive
135,1,2,Michael, Well it has certain connotations
136,1,2,Oscar, Like what
137,1,2,Michael, Like I dont I dont know
138,1,2,Oscar, What connotations Michael You meant something
139,1,2,Michael, No Now remember that honesty
140,1,2,Oscar, Im just curious
141,1,2,Michael, empathy respect  Jim Jim
142,1,2,Jim, Hello Hello
143,1,2,Michael, I have something here I want you to take a card Put it on your fore Dont look at the card I want you to take the card and put it on your forehead and Take a card take a card any card Um And I want you to treat other people like the race that is on their forehead OK So everybody has a different race Nobody knows what their race is so I want you to really go for it cause this is real You know this isnt just an exercise This is real life And I have a dream that you will really let the sparks fly Get er done
144,1,2,Michael, Why Because Martin Luther King is a hero of mine Theres this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent Im not going to do it but its
145,1,2,Michael, Oh this is a good one
146,1,2,Pam, Um hi How are you
147,1,2,Stanley, Fine How are you
148,1,2,Pam, Great
149,1,2,Michael, Push it
150,1,2,Stanley, I admire your cultures success in America
151,1,2,Pam, Thank you
152,1,2,Michael, Good Bom bom bombom bom Come on Olympics of Suffering right here Slavery versus the Holocaust Come on
153,1,2,Stanley, Who am I supposed to be
154,1,2,Michael, No that was inadvertent We didnt actually plan that
155,1,2,Dwight, Lots of cultures eat rice doesnt help me
156,1,2,Dwight, Um Shalom Id like to apply for a loan
157,1,2,Pam, Thats nice Dwight
158,1,2,Dwight, OK do me Something stereotypical so I can get it really quick
159,1,2,Pam, OK I like your food
160,1,2,Dwight, Outback steakhouse  Im Australian mate
161,1,2,Michael, Pam come on I like your food Come on stir the pot Stir the melting pot Pam Lets do it Lets get ugly Lets get real
162,1,2,Pam, OK If I have to do this based on stereotypes that are totally untrue that I do not agree with you would maybe not be a very good driver
163,1,2,Dwight, Oh man am I a woman
164,1,2,Michael, Youll notice I didnt have anybody be an Arab I thought that would be too explsive No pun intended But I just though Too soon for Arabs Maybe next year Um You know the balls in their court
165,1,2,Jim, What are you watching
166,1,2,Ryan, Chappelles Show
167,1,2,Jim, Really
168,1,2,Ryan, I downloaded it on her computer I hope she doesnt mind She just had a lot of extra space
169,1,2,Jim, No way I think she likes this stuff
170,1,2,Ryan, Great Shes cute huh
171,1,2,Jim, Yeah you know shes engaged but
172,1,2,Ryan, Oh no the girl in the sketch
173,1,2,Jim, Oh yeah Shes hot
174,1,2,Kevin, Hey
175,1,2,Angela, Hey
176,1,2,Kevin, You wanna go to the beach
177,1,2,Angela, Sure
178,1,2,Kevin, You wanna get high
179,1,2,Angela, No
180,1,2,Kevin, I think you do mon
181,1,2,Angela, Stop
182,1,2,Michael, OK All right No Its good You just need to push it You need to go a little bit further All right OK
183,1,2,Michael,  Kelly how are you
184,1,2,Kelly, I just had the longest meeting
185,1,2,Michael, Oh Welcome to my convenience store Would you like some googi googi I have some very delicious googi googi only 99 cents plus tax Try my googi googi  Try my googi googi  Try my googi googi Try my 
186,1,2,Michael,  All right All right Yes That was great she gets it Now she knows what its like to be a minority
187,1,2,Jim,  Mr Decker we didnt lose your sale today did we Excellent OK Let me just get your whats that No we didnt close last time I just need your Oh WWhat code were you given Oh OK Thats actually another salesman here I can redo it if you want to do that Oh he gave you a discount No I dont blame you
188,1,2,Michael, I just hated it when that guy was in here Mr Brown if that was his real name I mean he had never met any of us before and here he was telling us how to do our thing I just wanted I just wanted to do it our way You know On our own Man I should have gotten some food
189,1,2,Kevin, Maybe some spaghetti
190,1,2,Michael, Okay Kevin You can take that off that thing OK That would really really have shown him up wouldnt it If Id brought in some burritos or some colored greens Or some pad Thai I love pad Thai
191,1,2,Stanley, Its collard greens
192,1,2,Michael, What
193,1,2,Stanley, Its collard greens
